,asset_id,title_ch,Asset Destination,media,impact,start_time_utc,start_time_local,entities_curated,entities,predicted_at_entities,entities_raw_transformers,entities_transformers,keywords,predicted_at_keywords,title,text,predicted_at_text,truncated_text,title_and_text,prediction_delay_predictions,prediction_delay,influencer,user_name
0,119881719,"Most of Earth should move to California!Illegals get free medical care in California as of January and now get ``payback optional`` $150k loans, funded by California taxpayers, among many other benefits.",https://twitter.com/elonmusk/status/1830637755598328193,Elon Musk,3748242,2024-09-02 16:03:47,2024-09-02 13:03:47,[],[],2024-09-02 16:19:47.949234,"[{'entities': array([{'end': 13, 'entity_group': 'LOC', 'score': 0.9996509552001953, 'start': 8, 'word': 'Earth'},
        {'end': 39, 'entity_group': 'LOC', 'score': 0.9999961853027344, 'start': 29, 'word': 'California'},
        {'end': 85, 'entity_group': 'LOC', 'score': 0.9999966621398926, 'start': 75, 'word': 'California'},
        {'end': 164, 'entity_group': 'LOC', 'score': 0.9999958276748657, 'start': 154, 'word': 'California'},
        {'end': 216, 'entity_group': 'LOC', 'score': 0.9989516735076904, 'start': 211, 'word': 'Earth'},
        {'end': 242, 'entity_group': 'LOC', 'score': 0.9999947547912598, 'start': 232, 'word': 'California'},
        {'end': 288, 'entity_group': 'LOC', 'score': 0.9999959468841553, 'start': 278, 'word': 'California'},
        {'end': 367, 'entity_group': 'LOC', 'score': 0.9999932050704956, 'start': 357, 'word': 'California'}],
       dtype=object), 'text': 'Most of Earth should move to California!\nIllegals get free medical care in California as of January and now get ""payback optional"" $150k loans, funded by California taxpayers, among many other benefits.\nMost of Earth should move to California!\nIllegals get free medical care in California as of January and now get “payback optional” $150k loans, funded by California taxpayers, among many other benefits.'}]",['Earth' 'California'],[],2024-09-02 16:23:59.682140,"Most of Earth should move to California!

Illegals get free medical care in California as of January and now get ""payback optional"" $150k loans, funded by California taxpayers, among many other benefits.","Most of Earth should move to California!

Illegals get free medical care in California as of January and now get “payback optional” $150k loans, funded by California taxpayers, among many other benefits.",2024-09-02 16:23:59.682141+00:00,"Most of Earth should move to California!

Illegals get free medical care in California as of January and now get “payback optional” $150k loans, funded by California taxpayers, among many other benefits.","Most of Earth should move to California!

Illegals get free medical care in California as of January and now get ""payback optional"" $150k loans, funded by California taxpayers, among many other benefits.",0.06992580722222222,0.33685614999999997,True,elonmusk
1,119881726,Worth considering,https://twitter.com/elonmusk/status/1830632986016186601,Elon Musk,943406,2024-09-02 15:44:50,2024-09-02 12:44:50,[],[],2024-09-02 16:16:25.247993,"[{'entities': array([], dtype=object), 'text': 'Worth considering\nWorth considering'}]",[],[],2024-09-02 16:23:31.219040,Worth considering,Worth considering,2024-09-02 16:23:31.219047+00:00,Worth considering,Worth considering,0.11832529083333333,0.6447830666666666,True,elonmusk
2,119879061,🔥🔥,https://twitter.com/elonmusk/status/1830630716209864900,Elon Musk,689412,2024-09-02 15:35:48,2024-09-02 12:35:48,[],[],2024-09-02 15:41:21.452479,"[{'entities': array([], dtype=object), 'text': 'a\na'}]",[],[],2024-09-02 15:50:15.746000,🔥🔥,🔥🔥,2024-09-02 15:50:15.746001+00:00,🔥🔥,🔥🔥,0.14841486694444447,0.24104055555555556,True,elonmusk
3,119881729,Is this definitely arson?,https://twitter.com/elonmusk/status/1830631894440149446,Elon Musk,2254366,2024-09-02 15:40:29,2024-09-02 12:40:29,[],[],2024-09-02 16:16:25.179630,"[{'entities': array([], dtype=object), 'text': 'Is this definitely arson?\nIs this definitely arson?'}]",[],[],2024-09-02 16:23:30.754420,Is this definitely arson?,Is this definitely arson?,2024-09-02 16:23:30.754424+00:00,Is this definitely arson?,Is this definitely arson?,0.11821521944444445,0.7171540055555556,True,elonmusk
4,119879058,The reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don`t want to offend their customers!Democrat Party is literally the party of criminals.,https://twitter.com/elonmusk/status/1830629832285409742,Elon Musk,144374,2024-09-02 15:32:18,2024-09-02 12:32:18,[],[],2024-09-02 15:41:21.275160,"[{'entities': array([{'end': 31, 'entity_group': 'ORG', 'score': 0.9999958872795105, 'start': 15, 'word': 'Democratic Party'},
        {'end': 102, 'entity_group': 'MISC', 'score': 0.9999715089797974, 'start': 94, 'word': 'Democrat'},
        {'end': 162, 'entity_group': 'ORG', 'score': 0.9999957084655762, 'start': 148, 'word': 'Democrat Party'},
        {'end': 231, 'entity_group': 'ORG', 'score': 0.9999950528144836, 'start': 215, 'word': 'Democratic Party'},
        {'end': 302, 'entity_group': 'MISC', 'score': 0.9999810457229614, 'start': 294, 'word': 'Democrat'},
        {'end': 362, 'entity_group': 'ORG', 'score': 0.9999948143959045, 'start': 348, 'word': 'Democrat Party'}],
       dtype=object), 'text': ""The reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don't want to offend their customers!\nDemocrat Party is literally the party of criminals.\nThe reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don’t want to offend their customers!\nDemocrat Party is literally the party of criminals.""}]",['Democratic Party' 'Democrat Party'],['party' 'vote'],2024-09-02 15:50:16.041640,"The reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don't want to offend their customers!

Democrat Party is literally the party of criminals.","The reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don’t want to offend their customers!

Democrat Party is literally the party of criminals.",2024-09-02 15:50:16.041640+00:00,"The reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don’t want to offend their customers!

Democrat Party is literally the party of criminals.","The reason the Democratic Party is so soft on criminals is that criminals vote overwhelmingly Democrat – they don't want to offend their customers!

Democrat Party is literally the party of criminals.",0.14854624444444445,0.2994560111111111,True,elonmusk
5,119879063,Seems legit 🤣🤣,https://twitter.com/elonmusk/status/1830630013420327197,Elon Musk,107961,2024-09-02 15:33:01,2024-09-02 12:33:01,[],[],2024-09-02 15:41:21.306648,"[{'entities': array([], dtype=object), 'text': 'Seems legit \nSeems legit'}]",[],[],2024-09-02 15:50:20.407090,Seems legit 🤣🤣,Seems legit 🤣🤣,2024-09-02 15:50:20.407091+00:00,Seems legit 🤣🤣,Seems legit 🤣🤣,0.1497501227777778,0.28872419166666663,True,elonmusk
6,119895920,Kamala vows to be a communist dictator on day one. Can you believe she wears that outfit!? https://t.co/ISKFXYnSon,https://twitter.com/elonmusk/status/1830656672211103825,Elon Musk,24101231,2024-09-02 17:18:57,2024-09-02 14:18:57,[],['Kamala'],2024-09-02 17:46:06.388306,"[{'entities': array([{'end': 6, 'entity_group': 'PER', 'score': 0.9999725222587585, 'start': 0, 'word': 'Kamala'},
        {'end': 114, 'entity_group': 'MISC', 'score': 0.7206069827079773, 'start': 111, 'word': 'Son'},
        {'end': 121, 'entity_group': 'PER', 'score': 0.9999713897705078, 'start': 115, 'word': 'Kamala'},
        {'end': 229, 'entity_group': 'MISC', 'score': 0.6195504665374756, 'start': 222, 'word': 'FXYnSon'}],
       dtype=object), 'text': 'Kamala vows to be a communist dictator on day one. Can you believe she wears that outfit!? https://t.co/ISKFXYnSon\nKamala vows to be a communist dictator on day one. Can you believe she wears that outfit!? https://t.co/ISKFXYnSon'}]",['Kamala'],[],2024-09-02 17:54:48.404220,Kamala vows to be a communist dictator on day one. Can you believe she wears that outfit!? ,Kamala vows to be a communist dictator on day one. Can you believe she wears that outfit!? https://t.co/ISKFXYnSon,2024-09-02 17:54:48.404229+00:00,Kamala vows to be a communist dictator on day one. Can you believe she wears that outfit!? https://t.co/ISKFXYnSon,Kamala vows to be a communist dictator on day one. Can you believe she wears that outfit!? ,0.14500442055555554,0.5976122833333333,True,elonmusk
7,119807693,Worth reading,https://twitter.com/elonmusk/status/1830388967792849324,Elon Musk,10475606,2024-09-01 23:35:11,2024-09-01 20:35:11,[],[],2024-09-01 23:40:42.026497,"[{'entities': array([], dtype=object), 'text': 'Worth reading\nWorth reading'}]",[],[],2024-09-01 23:48:01.421390,Worth reading,Worth reading,2024-09-01 23:48:01.421392+00:00,Worth reading,Worth reading,0.12205413694444445,0.21400594166666667,True,elonmusk
8,119887431,True,https://twitter.com/elonmusk/status/1830639722970185959,Elon Musk,4509762,2024-09-02 16:11:36,2024-09-02 13:11:36,['True'],[],2024-09-02 16:56:48.184663,"[{'entities': array([], dtype=object), 'text': 'True\nTrue'}]",[],[],2024-09-02 16:57:28.697580,True,True,2024-09-02 16:57:28.697583+00:00,True,True,0.011253588055555557,0.7646382166666666,True,elonmusk
9,119879065,Yes,https://twitter.com/elonmusk/status/1830627365602607335,Elon Musk,491925,2024-09-02 15:22:30,2024-09-02 12:22:30,[],[],2024-09-02 15:41:31.076118,"[{'entities': array([], dtype=object), 'text': 'Yes\nYes'}]",[],[],2024-09-02 15:50:23.402230,Yes,Yes,2024-09-02 15:50:23.402231+00:00,Yes,Yes,0.14786836444444443,0.4648339527777778,True,elonmusk
10,119879066,Bravo Brazilians!,https://twitter.com/elonmusk/status/1830630202508017701,Elon Musk,68735,2024-09-02 15:33:46,2024-09-02 12:33:46,[],[],2024-09-02 15:41:21.359929,"[{'entities': array([{'end': 12, 'entity_group': 'MISC', 'score': 0.9976418018341064, 'start': 6, 'word': 'Brazil'},
        {'end': 30, 'entity_group': 'MISC', 'score': 0.9980239868164062, 'start': 24, 'word': 'Brazil'}],
       dtype=object), 'text': 'Bravo Brazilians!\nBravo Brazilians!'}                                               ]",[],[],2024-09-02 15:50:20.405630,Bravo Brazilians!,Bravo Brazilians!,2024-09-02 15:50:20.405633+00:00,Bravo Brazilians!,Bravo Brazilians!,0.14973491694444444,0.2762237861111111,True,elonmusk
11,119881717,RT @libsoftiktok: You can`t make this up. The City of Aurora is gaslighting the public about the migrant gang taking over apartment buildin…,https://twitter.com/elonmusk/status/1830633528775635105,Elon Musk,981747,2024-09-02 15:46:59,2024-09-02 12:46:59,[],['City'],2024-09-02 16:19:47.962285,"[{'entities': array([{'end': 53, 'entity_group': 'ORG', 'score': 0.9902019500732422, 'start': 46, 'word': 'City of'},
        {'end': 60, 'entity_group': 'LOC', 'score': 0.7530047297477722, 'start': 54, 'word': 'Aurora'},
        {'end': 154, 'entity_group': 'ORG', 'score': 0.5124661922454834, 'start': 152, 'word': 'ik'},
        {'end': 191, 'entity_group': 'ORG', 'score': 0.9919821619987488, 'start': 187, 'word': 'City'},
        {'end': 201, 'entity_group': 'LOC', 'score': 0.7547794580459595, 'start': 195, 'word': 'Aurora'}],
       dtype=object), 'text': ""RT @libsoftiktok: You can't make this up. The City of Aurora is gaslighting the public about the migrant gang taking over apartment buildin…\nRT @libsoftiktok: You can’t make this up. The City of Aurora is gaslighting the public about the migrant gang taking over apartment buildin…""}]",['City of' 'Aurora' 'ik' 'City'],[],2024-09-02 16:25:40.904940,@libsoftiktok: You can't make this up. The City of Aurora is gaslighting the public about the migrant gang taking over apartment buildin…,RT @libsoftiktok: You can’t make this up. The City of Aurora is gaslighting the public about the migrant gang taking over apartment buildin…,2024-09-02 16:25:40.904948+00:00,RT @libsoftiktok: You can’t make this up. The City of Aurora is gaslighting the public about the migrant gang taking over apartment buildin…,@libsoftiktok: You can't make this up. The City of Aurora is gaslighting the public about the migrant gang taking over apartment buildin…,0.09803962638888888,0.6449735944444445,True,elonmusk
12,119881718,RT @Foro_MAD: #Brasil 🇧🇷 | 🚨 EL BLOQUEO DE @X EN BRASIL ES UN ATENTADO CONTRA LA LIBERTAD DE EXPRESIÓN Y LOS DERECHOS DE LOS BRASILEÑOSEl…,https://twitter.com/elonmusk/status/1830636844121506049,Elon Musk,981752,2024-09-02 16:00:09,2024-09-02 13:00:09,[],[],2024-09-02 16:16:25.483877,"[{'entities': array([{'end': 12, 'entity_group': 'ORG', 'score': 0.9999681711196899, 'start': 4, 'word': 'Foro_MAD'},
        {'end': 21, 'entity_group': 'LOC', 'score': 0.9982285499572754, 'start': 14, 'word': '#Brasil'},
        {'end': 42, 'entity_group': 'ORG', 'score': 0.995694637298584, 'start': 40, 'word': '@X'},
        {'end': 52, 'entity_group': 'LOC', 'score': 0.9982823729515076, 'start': 46, 'word': 'BRASIL'},
        {'end': 129, 'entity_group': 'MISC', 'score': 0.9710257649421692, 'start': 122, 'word': 'BRASILE'},
        {'end': 149, 'entity_group': 'ORG', 'score': 0.9999583959579468, 'start': 141, 'word': 'Foro_MAD'},
        {'end': 158, 'entity_group': 'LOC', 'score': 0.9965395927429199, 'start': 151, 'word': '#Brasil'},
        {'end': 179, 'entity_group': 'ORG', 'score': 0.9945339560508728, 'start': 177, 'word': '@X'},
        {'end': 189, 'entity_group': 'LOC', 'score': 0.9983324408531189, 'start': 183, 'word': 'BRASIL'},
        {'end': 244, 'entity_group': 'LOC', 'score': 0.9949433207511902, 'start': 243, 'word': ''},
        {'end': 266, 'entity_group': 'MISC', 'score': 0.981998860836029, 'start': 259, 'word': 'BRASILE'}],
       dtype=object), 'text': 'RT @Foro_MAD: #Brasil  |  EL BLOQUEO DE @X EN BRASIL ES UN ATENTADO CONTRA LA LIBERTAD DE EXPRESIÓN Y LOS DERECHOS DE LOS BRASILEÑOS\nEl…\nRT @Foro_MAD: #Brasil  |  EL BLOQUEO DE @X EN BRASIL ES UN ATENTADO CONTRA LA LIBERTAD DE EXPRESIÓN Y LOS DERECHOS DE LOS BRASILEÑOS\nEl…'}]",['Foro_MAD' '#Brasil' '@X' 'BRASIL' ''],['bloqueo' 'expresión' 'atentado' 'la libertad' 'derechos'],2024-09-02 16:22:35.710260,"@Foro_MAD: #Brasil 🇧🇷 | 🚨 EL BLOQUEO DE @X EN BRASIL ES UN ATENTADO CONTRA LA LIBERTAD DE EXPRESIÓN Y LOS DERECHOS DE LOS BRASILEÑOS

El…","RT @Foro_MAD: #Brasil 🇧🇷 | 🚨 EL BLOQUEO DE @X EN BRASIL ES UN ATENTADO CONTRA LA LIBERTAD DE EXPRESIÓN Y LOS DERECHOS DE LOS BRASILEÑOS

El…",2024-09-02 16:22:35.710267+00:00,"RT @Foro_MAD: #Brasil 🇧🇷 | 🚨 EL BLOQUEO DE @X EN BRASIL ES UN ATENTADO CONTRA LA LIBERTAD DE EXPRESIÓN Y LOS DERECHOS DE LOS BRASILEÑOS

El…","@Foro_MAD: #Brasil 🇧🇷 | 🚨 EL BLOQUEO DE @X EN BRASIL ES UN ATENTADO CONTRA LA LIBERTAD DE EXPRESIÓN Y LOS DERECHOS DE LOS BRASILEÑOS

El…",0.10284066194444444,0.3740861833333334,True,elonmusk
